uhf_code,indicator_id,indicator_name,estimate,se,ci_low,ci_high,year,stratum,data_source
100,current_smoker,Current Smoker,13.490142459033697,0.8461498157164735,11.831688820229408,15.148596097837984,2018-2022,total,synthetic_demo
100,obesity,Obesity (BMI 30+),24.585207096486446,1.0781640908000072,22.472005478518433,26.698408714454462,2018-2022,total,synthetic_demo
100,diabetes,Diabetes,8.664359645859237,0.9051067656690942,6.890350385147813,10.438368906570663,2018-2022,total,synthetic_demo
100,high_blood_pressure,High Blood Pressure,28.956706554068152,1.0879557695913529,26.824313245669103,31.0890998624672,2018-2022,total,synthetic_demo
100,poor_mental_health,Poor Mental Health Days,19.737638446522173,0.9299098048736243,17.91501522896987,21.560261664074474,2018-2022,total,synthetic_demo
200,current_smoker,Current Smoker,14.302304187458725,0.9827810340130796,12.376053360793088,16.228555014124364,2018-2022,total,synthetic_demo
200,obesity,Obesity (BMI 30+),25.699285717179233,1.4688768472815885,22.820287096507318,28.578284337851144,2018-2022,total,synthetic_demo
200,diabetes,Diabetes,12.3539838370305,0.7945798409528476,10.796607348762919,13.91136032529808,2018-2022,total,synthetic_demo
200,high_blood_pressure,High Blood Pressure,28.06666547983595,1.413838548916585,25.29554192395944,30.83778903571246,2018-2022,total,synthetic_demo
200,poor_mental_health,Poor Mental Health Days,13.716621259189962,0.7694506096532869,12.20849806426952,15.224744454110406,2018-2022,total,synthetic_demo
300,current_smoker,Current Smoker,12.666236704694228,0.7912188266116091,11.115447804535474,14.217025604852982,2018-2022,total,synthetic_demo
300,obesity,Obesity (BMI 30+),22.696070494170765,1.1481195004586255,20.44575627327186,24.946384715069673,2018-2022,total,synthetic_demo
300,diabetes,Diabetes,15.403017796507632,1.0663211792196496,13.313028285237118,17.493007307778143,2018-2022,total,synthetic_demo
300,high_blood_pressure,High Blood Pressure,27.685763355086706,1.9621783631360448,23.839893763340058,31.531632946833355,2018-2022,total,synthetic_demo
300,poor_mental_health,Poor Mental Health Days,14.119802560924013,1.0499400120235982,12.061920137357761,16.177684984490266,2018-2022,total,synthetic_demo
400,current_smoker,Current Smoker,11.910484291920753,1.134613684221227,9.68664147084715,14.134327112994358,2018-2022,total,synthetic_demo
400,obesity,Obesity (BMI 30+),18.919841152809724,0.9059649325922622,17.14414988492889,20.695532420690558,2018-2022,total,synthetic_demo
400,diabetes,Diabetes,15.358270834685511,1.1053316620442395,13.191820777078803,17.52472089229222,2018-2022,total,synthetic_demo
400,high_blood_pressure,High Blood Pressure,25.752770429669937,1.1463589028454986,23.505906980092757,27.99963387924711,2018-2022,total,synthetic_demo
400,poor_mental_health,Poor Mental Health Days,12.664853978727317,0.7477931372528571,11.199179429711718,14.130528527742916,2018-2022,total,synthetic_demo
500,current_smoker,Current Smoker,15.390684581691112,1.5615914804543882,12.32996528000051,18.451403883381712,2018-2022,total,synthetic_demo
500,obesity,Obesity (BMI 30+),26.119356744188256,1.6544437807528691,22.87664693391263,29.36206655446388,2018-2022,total,synthetic_demo
500,diabetes,Diabetes,8.420525311532723,0.6352407112177557,7.175453517545921,9.665597105519524,2018-2022,total,synthetic_demo
500,high_blood_pressure,High Blood Pressure,26.772844294828207,1.1338312355548366,24.55053507314073,28.995153516515686,2018-2022,total,synthetic_demo
500,poor_mental_health,Poor Mental Health Days,10.866182088532552,0.8976509813134519,9.106786165158187,12.625578011906919,2018-2022,total,synthetic_demo
